hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,13.1054,13.1111,2,3,3,3
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.5528,17.6142,17.6836,3,3,3,3
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.2813,20.3943,20.4521,6,4,4,4
5,256,320,22.2079,22.5682,22.9045,10,5,5,5
5,424,337,19.7293,19.7293,19.7293,1,5,5,5
5,577,595,30.6497,30.7612,30.8934,5,5,5,5
6,1209,1226,37.1448,37.2631,37.416,6,6,6,6
6,1508,1571,31.5166,31.6516,31.7466,20,6,6,6
7,49,10,39.269,39.5701,40.0528,21,7,7,7
7,1162,1201,39.2084,39.4281,39.752,21,7,7,7
7,1265,1226,40.0422,40.0422,40.0422,1,7,7,7
8,1430,22,245.379,245.379,245.379,1,8,8,8
9,975,892,46.2188,46.9813,47.4477,126,9,9,9
9,1306,1200,44.7508,44.8372,44.8843,5,9,9,9
10,64,1575,295.001,295.001,295.001,1,10,10,10
10,733,628,50.763,51.306,51.587,56,10,10,10
11,162,12,51.7335,52.5849,53.029,330,11,11,11
11,1300,1311,71.8942,71.9239,71.9537,2,11,11,11
12,278,152,59.6626,59.7447,59.8816,7,12,12,12
12,664,632,71.922,72.3652,72.7469,66,12,12,12
12,1147,1021,59.751,59.8317,59.9656,7,12,12,12
12,1524,78,279.001,279.654,280.042,84,12,12,12
13,25,1386,287.392,287.392,287.392,1,13,13,13
13,141,1462,260.703,260.87,261.036,6,13,13,13
13,1466,1203,47.6038,47.6379,47.672,2,13,13,13
15,388,465,84.9947,85.8442,86.6853,2730,15,15,15
15,576,698,82.9446,83.9736,84.8779,3003,15,15,15
16,214,382,78.4808,78.6472,78.7636,9,16,16,16
16,1375,1517,85.807,86.6417,87.455,1001,16,16,16
17,392,743,60.4426,60.4693,60.496,2,17,17,17
18,24,252,87.104,87.5302,88.1526,165,18,18,18
18,594,782,93.7215,94.2562,94.8299,286,18,18,18
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,92.3505,92.8144,93.1745,55,19,19,19
20,663,384,88.3504,89.3251,90.7016,1716,20,20,20
20,1457,1247,98.1846,99.6043,100.896,19448,20,20,20
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
