hop_count,src,dst,min,avg,max,path_count,avg_hop,min_hop,max_hop
3,357,314,13.0996,13.1155,13.1357,3,3,3,3
3,1128,1062,11.0851,11.0851,11.0851,1,3,3,3
3,1295,1315,17.5528,17.6142,17.6836,3,3,3,3
3,1502,1436,8.6952,8.6952,8.6952,1,3,3,3
4,867,825,20.4521,20.4521,20.4521,1,4,4,4
5,256,320,22.2079,22.5682,22.9045,10,5,5,5
5,424,337,19.7293,19.9028,20.0535,5,5,5,5
5,577,595,30.6497,30.7612,30.8934,5,5,5,5
6,1209,1226,37.1448,37.2631,37.416,6,6,6,6
6,1508,1571,31.5166,31.6123,31.7081,4,6,6,6
7,49,10,39.269,39.5701,40.0528,21,7,7,7
7,1162,1201,39.2084,39.4281,39.752,21,7,7,7
7,1265,1226,39.2183,39.591,40.0422,21,7,7,7
8,1430,22,245.379,245.379,245.379,1,8,8,8
9,975,892,47.2645,47.3611,47.4477,5,9,9,9
9,1306,1200,45.4422,45.5506,45.6589,6,9,9,9
10,64,1575,295.001,295.001,295.001,1,10,10,10
10,733,628,51.9847,52.0931,52.2014,6,10,10,10
11,162,12,52.7206,52.8748,53.029,8,11,11,11
11,1300,1311,176.493,176.493,176.493,1,11,11,11
12,278,152,58.8335,59.5488,60.7757,924,12,12,12
12,664,632,150.354,150.753,151.147,21,12,12,12
12,1147,1021,58.9264,59.6358,60.8519,924,12,12,12
12,1524,78,279.919,293.314,306.708,8,12,12,12
13,25,1386,287.392,288.579,289.412,165,13,13,13
13,141,1462,260.703,260.87,261.036,6,13,13,13
13,1466,1203,46.4401,47.072,47.672,13,13,13,13
15,388,465,85.0599,85.7215,86.6273,330,15,15,15
15,576,698,161.377,162.194,163.233,252,15,15,15
16,214,382,80.2275,184.275,186.457,12915,21.9791,16,22
16,1375,1517,84.983,86.2382,87.455,8008,16,16,16
17,392,743,59.1909,59.8567,60.496,17,17,17,17
18,24,252,85.1252,86.7926,89.0438,43758,18,18,18
18,594,782,222.298,223.821,225.467,24310,18,18,18
18,992,596,63.8709,63.8709,63.8709,1,18,18,18
19,194,405,209.37,211.25,213.437,92378,23,23,23
20,663,384,87.2173,89.3309,92.4393,77520,20,20,20
20,1457,1247,98.6538,169.554,180.49,9009,21.7778,20,22
22,537,53,79.1908,79.1908,79.1908,1,22,22,22
22,886,1202,100.318,102.324,103.913,680,22,22,22
22,1190,44,211.793,211.96,212.067,6,22,22,22
23,49,1169,299.53,300.795,302.306,190,23,23,23
23,212,626,94.8152,94.8152,94.8152,1,23,23,23
23,888,466,88.3989,89.4431,91.3765,3060,23,23,23
24,523,121,98.1177,101.463,105.534,134596,24,24,24
24,684,177,89.2657,90.3203,91.3749,24,24,24,24
24,1178,1517,106.694,109.661,112.77,1.3075e+06,24,24,24
25,1008,527,93.8091,95.7559,97.3672,455,25,25,25
25,1470,1059,199.121,201.752,203.667,1330,25,25,25
26,603,220,115.819,118.93,122.603,3.12455e+06,26,26,26
26,1221,167,242.748,243.272,243.685,36,26,26,26
26,1320,307,406.238,406.724,407.21,2,26,26,26
27,77,1088,336.888,337.38,337.873,2,27,27,27
27,889,525,121.531,123.846,126.928,251940,27,27,27
27,1174,121,193.019,194.762,196.505,2,51,51,51
27,1556,566,312.14,312.14,312.14,1,27,27,27
28,781,354,122.375,125.479,129.694,2.22008e+06,28,28,28
28,1151,640,108.64,109.259,110.258,462,28,28,28
28,1301,249,267.125,267.797,268.767,1365,28,28,28
29,130,1100,446.617,449.545,452.472,2,29,29,29
30,599,1213,104.887,106.169,107.764,210,30,30,30
30,870,1467,108.209,112.551,116.78,4060,30,30,30
31,30,978,352.875,355.434,357.658,406,31,31,31
31,64,1197,495.858,502.018,508.739,6.2491e+06,31,31,31
31,353,965,442.837,446.295,449.464,870,49,49,49
31,671,178,131.011,134.743,139.632,5.85292e+06,31,31,31
31,1370,363,296.067,308.104,320.141,2,31,31,31
32,223,885,326.479,328.586,331.206,528,44,44,44
32,652,1574,157.057,160.846,164.376,666,44,44,44
33,394,1252,249.27,249.27,249.27,1,33,33,33
33,599,105,154.938,160.949,216.201,492570,34.9287,33,35
33,926,1463,268.122,273.165,278.01,1.31128e+08,37,37,37
33,1179,568,129.198,130.168,131.916,3003,33,33,33
34,48,680,218.386,219.391,220.416,29,34,34,34
34,165,706,139.644,143.968,149.569,1.38842e+07,34,34,34
34,1052,9,333.007,341.404,350.865,1.41786e+09,60,60,60
34,1100,563,276.272,278.076,280.481,87516,34,34,34
35,1412,505,405.044,415.869,426.695,2,35,35,35
36,266,1227,413.489,420.053,426.634,9690,36,36,36
37,818,1506,139.691,144.611,151.966,2.32478e+06,37,37,37
37,1242,681,375.626,382.328,388.797,1.69532e+09,57,57,57
37,1263,679,369.817,377.506,387.02,9.7807e+07,55,55,55
37,1331,601,338.766,343.394,347.447,8120,43,43,43
37,1582,628,400.376,405.054,410.629,3.02603e+07,37,37,37
38,1017,411,157.976,236.036,246.537,213864,39.8881,38,40
38,1085,479,158.481,163.124,168.551,77520,38,38,38
39,1236,302,374.094,385.784,398.065,17136,39,39,39
40,344,1209,294.558,297.152,301.169,346104,40,40,40
40,491,1266,157.503,160.127,162.752,44,40,40,40
40,1098,380,279.393,283.201,287.957,269192,40,40,40
41,1129,286,171.971,175.768,180.92,1.56078e+06,45,45,45
41,1193,452,295.624,420.248,434.927,2.00301e+07,53,45,53
41,1474,802,168.263,174.585,180.741,1.1211e+09,41,41,41
42,1012,236,292.297,296.705,302.251,285012,42,42,42
43,180,964,436.216,451.217,465.725,8990,45,45,45
43,183,921,390.593,405.493,422.213,9.7807e+07,51,51,51
43,938,89,210.718,217.319,224.515,5.46878e+08,51,51,51
44,1035,278,296.681,300.381,305.997,4.0716e+06,44,44,44
44,1151,373,211.154,217.682,224.173,4.006e+07,50,50,50
45,231,1055,369.752,374.789,379.64,1.31128e+08,45,45,45
